學校,科系,項目,說明,指定項目甄試日期
國立臺灣大學,希望組戊組(工電資),修課紀錄(A)、課程學習成果(C、D)、多元表現(I、K、L、M、N)、學習歷程自述(O、P、Q)、其他(R.報名資格證明正本、S.其他有利審查資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.學習歷程自述(Q)：請描述個人特質、家庭成員及經濟情況，於求學時成長歷程、就讀志趣及未來生涯規劃。2.其他(R)報名資格證明正本：符合報名資格之證明、戶籍謄本(詳細版本)、全戶所得及資產證明，所繳各份證明均應為正本且應完整齊備。3.(S)其他有利審查資料：可含利他、服務、在校參與活動及表現等文件。,--
國立臺灣大學,希望組己組(經管),修課紀錄(A)、課程學習成果(C、D、E)、多元表現(I、K、L、M、N)、學習歷程自述(O、P、Q)、其他(R.報名資格證明正本、S.有利審查之資料、T.本組個人資料表) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.學習歷程自述(Q)請描述個人特質、家庭成員及經濟情況，於求學時成長歷程、就讀志趣及未來生涯規劃。2.其他(R)報名資格證明正本：符合報名資格之證明、戶籍謄本(詳細版本)、全戶所得及資產證明，證明均應為正本且應完整齊備。(T)本組個人資料表請至各系網站下載同一式表格，依格式填寫，請勿超過一頁。,--
國立臺灣大學,希望組庚組(生農),修課紀錄(A)、課程學習成果(C、D)、多元表現(I、K、L、M、N)、學習歷程自述(O、P、Q)、其他(R.報名資格證明正本、S.有利審查之資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.學習歷程自述(Q)：請描述個人特質、家庭成員及經濟情況，於求學時成長歷程、就讀志趣及未來生涯規劃。2.其他(R)報名資格證明正本：符合報名資格之證明、戶籍謄本(詳細版本)、全戶所得及資產證明，所繳各份證明均應為正本且應完整齊備。3.(S)其他有利審查資料：可含利他、服務、在校參與活動及表現等文件。,--
國立臺灣大學,希望組辛組(醫牙),修課紀錄(A)、課程學習成果(B、C、D)、多元表現(I、K、L、M、N)、學習歷程自述(O、P、Q)、其他(R.報名資格證明正本、S.有利審查之資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.（N）含個人資料表（請至系網站下載）2.（Q）：描述個人特質、家庭成員及經濟情況，於求學時成長歷程、就讀志趣及未來生涯規劃3.其他（R）：報名資格證明正本：符合報名資格之證明、戶籍謄本（詳細版本）、全戶所得及資產證明，所繳各份證明均應為正本且應完整齊備（S）：可含利他、服務、在校參與活動及表現等文件。,114.5.24
國立臺灣師範大學,教育學系,修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、H、M、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16至114.5.17
國立臺灣師範大學,教育心理與輔導學系,修課紀錄(A)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,請搜尋參考「師大申請入學書審準備指引」網頁公告。,114.5.17
國立臺灣師範大學,社會教育學系,修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16至114.5.17
國立臺灣師範大學,社會教育學系(青年儲蓄帳戶組),修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q)、其他(R.體驗學習報告書)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,體驗學習報告書佔甄選總成績60%。,114.5.16至114.5.17
國立臺灣師範大學,健康促進與衛生教育學系,修課紀錄(A)、課程學習成果(B、D、E)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,「特殊優良表現證明」:可提供英語考試(或足以具備英語能力)的相關證明。,114.5.19
國立臺灣師範大學,幼兒與家庭科學學系家庭生活與教育組,修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.本組選擇具備家庭生活教育工作潛力的人才。
2.若有英/外語能力檢定證明，可於「多元表現」項目檢附。英/外語能力檢定證明如：全民英檢、TOEIC、TOEFL、高中英語聽力測驗等；其他外語(法、德、西、日)各級檢定證明。",--
國立臺灣師範大學,幼兒與家庭科學學系幼兒發展與教育組,修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,本組選擇具備幼兒發展與教育工作潛力的人才。,--
國立臺灣師範大學,幼兒與家庭科學學系幼兒發展與教育組(青年儲蓄帳戶組),修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q)、其他(R.體驗學習報告書)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,體驗學習報告書佔甄選總成績60%。,--
國立臺灣師範大學,公民教育與活動領導學系,修課紀錄(A)、課程學習成果(E)、多元表現(F、G、H、I、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),--
國立臺灣師範大學,特殊教育學系,修課紀錄(A)、多元表現(F、G、I、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16
國立臺灣師範大學,特殊教育學系(公費生),修課紀錄(A)、多元表現(F、G、I、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16
國立臺灣師範大學,學習科學學士學位學程,修課紀錄(A)、課程學習成果(C)、多元表現(F、G、H、M、N)、學習歷程自述(O、P、Q)、其他(R.其它有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.17
國立臺灣師範大學,教育學院學士班,修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16
國立臺灣師範大學,教育學院學士班(青年儲蓄帳戶組),修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q)、其他(R.體驗學習報告書) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,『體驗學習報告書』佔總成績60%。,114.5.16
國立臺灣師範大學,國文學系,修課紀錄(A)、多元表現(F、M、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.修課紀錄：著重是否選修語文領域等相關科目與其成績表現。2.多元表現：特殊優良表現證明：請提供國語文相關競賽成果(或特殊表現)證明及作品。3.學習歷程自述：重視就讀動機，以及能明確並具體研擬未來學習計畫與生涯規劃。,--
國立臺灣師範大學,英語學系,修課紀錄(A)、多元表現(F、L、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(O)高中學習歷程反思：請以中文1000字以內描述，請你回想高中學習歷程中，面臨最大的挑戰是什麼？如何克服？如果可以重來，你會採取相同方式解決嗎？為什麼？請以英文500字以內描述下列兩題(P)就讀動機：挑選本系的主要原因？本系有何特色？(Q)未來學習計畫與生涯規劃：進入本系後，你求學期間各階段的規劃是什麼？為什麼？,114.5.19至114.5.20
國立臺灣師範大學,歷史學系,修課紀錄(A)、課程學習成果(E)、多元表現(F、G、I、J、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,「多元表現」請填寫高中期間的各項文史相關競賽表現、社團活動或校內外服務學習經驗等有利審查條件之證明，並就檢附之「多元表現」撰寫多元表現綜整心得。,--
國立臺灣師範大學,地理學系,修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、I、J、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,若有英/外語能力檢定證明，可於「特殊優良表現證明」項目檢附。英/外語能力檢定證明如：全民英檢、TOEIC、TOEFL、高中英語聽力測驗等；其他外語(法、德、西、日)各級檢定證明。,114.5.17
國立臺灣師範大學,臺灣語文學系,修課紀錄(A)、多元表現(F、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,其他有利審查資料可含台灣文學、文化、語言領域等相關學習資料、成果或證明文件。,114.5.16
國立臺灣師範大學,數學系,修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,請提供數學相關競賽成績或表現。,--
國立臺灣師範大學,數學系(公費生),修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,請提供數學相關競賽成績或表現。,--
國立臺灣師範大學,物理學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.著重修習數學及物理之專題成果、或與科學領域相關研習之書面報告/實作作品。 
2.物理奧林匹亞競賽、數理及資訊學科能力競賽、物理辯論競賽、校內外科展及小論文寫作比賽等表現。 
3.英語能力檢定證照，另可檢附學生認為有利審查之資料。",114.5.19
國立臺灣師範大學,物理學系國際組,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.著重修習數學及物理之專題成果、或與科學領域相關研習之書面報告/實作作品。2.物理奧林匹亞競賽、數理及資訊學科能力競賽、物理辯論競賽、校內外科展及小論文寫作比賽等表現。3.英語能力檢定證照，另可檢附學生認為有利審查之資料。,114.5.19
國立臺灣師範大學,化學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、M、N)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.17
國立臺灣師範大學,生命科學系,修課紀錄(A)、課程學習成果(D)、多元表現(F、J、K、L、N)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(1)競賽成果─請呈現高中時期與生物科相關之競賽表現成果(獎狀、參賽證明等)，並請加上簡短之競賽內容說明、科展海報及實驗內容等資料。(2)英語能力證明─如：高中英聽、全民英檢、雅思、多益、托福等成績單或證書。(3)其他高中時期非競賽之生物相關成就或表現證明及說明─請於「多元表現綜整心得」呈現。,114.5.16至114.5.17
